endTime,artistName,trackName,msPlayed
2021-05-27 17:13,Philip George,Wish You Were Mine - Radio Edit,1450
2021-05-27 17:13,The Star-Lord’s,Come and Get Your Love,2240
2021-05-27 17:13,Peter Bjorn and John,Young Folks,4320
2021-05-27 17:13,Low Roar,I'll Keep Coming,3600
2021-05-27 17:13,Duke Dumont,Real Life,1550
2021-05-27 17:13,Gorgon City,Ready For Your Love,2320
2021-05-27 17:13,Michael Jackson,Love Never Felt So Good,3390
2021-05-27 17:13,Friendly Fires,Paris - Aeroplane Remix,407228
2021-05-27 17:13,Karen Harding,Say Something - Zac Samuel Remix,3580
2021-05-27 17:13,Sawyer Fredericks,This Fire,2060
2021-05-27 17:13,Alan Walker,Faded,2200
2021-05-27 17:13,The Verve,Bitter Sweet Symphony - Remastered 2016,10750
2021-05-27 17:13,Sofi Tukker,House Arrest,2230
2021-05-27 17:13,The Outfield,Your Love,1880
2021-05-27 17:14,Queen,Crazy Little Thing Called Love - Remastered 2011,1620
2021-05-27 17:14,The Police,Every Breath You Take,2280
2021-05-27 17:14,Pet Shop Boys,New York City Boy,2340
2021-05-27 17:14,Raphael Lake,Stand Understood,2300
2021-05-27 17:14,Smash Mouth,Walkin' On The Sun,1220
2021-05-27 17:14,Third Eye Blind,Semi-Charmed Life,5380
2021-05-27 17:14,Route 94,Fever - Edit,8450
2021-05-27 17:14,Travis,Know Nothing,10290
2021-05-27 17:14,Sawyer Fredericks,This Fire,3880
2021-05-27 17:14,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",9030
2021-05-27 17:14,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",1720
2021-05-27 17:14,Radiohead,Creep,2630
2021-05-27 17:14,The Outfield,Your Love,1510
2021-05-27 17:14,No Doubt,Don't Speak,2380
2021-05-27 17:15,Gorgon City,Elevate,2230
2021-05-27 17:15,Khalid,Reasons,1830
2021-05-27 17:15,Milky Chance,Stolen Dance,10300
2021-05-27 17:15,Moloko,Fun For Me,3810
2021-05-27 17:15,Khalid,Location,1490
2021-05-27 17:15,Kool & The Gang,Celebration,4280
2021-05-27 17:15,Kygo,Stole the Show,1980
2021-05-27 17:15,Gotye,Somebody That I Used To Know,1690
2021-05-27 17:15,KDA,Turn the Music Louder (Rumble) (feat. Tinie Tempah & Katy B) - Radio Edit,2130
2021-05-27 17:15,Goldroom,City Girls,6010
2021-05-27 17:15,Justin Bieber,Beauty And A Beat,1770
2021-05-27 17:15,Groove Armada,Hands of Time,1430
2021-05-27 17:15,HTHAZE,I Love You Baby,3580
2021-05-27 17:15,Kygo,Firestone,3010
2021-05-27 17:15,Joy Division,Atmosphere - 2010 Remaster,6760
2021-05-27 17:15,The Killers,Read My Mind,4290
2021-05-27 17:16,David Guetta,Titanium (feat. Sia),1760
2021-05-27 17:16,David Zowie,House Every Weekend - Radio Edit,6470
2021-05-27 17:16,Ella Eyre,Good Times,1820
2021-05-27 17:16,Eagle-Eye Cherry,Save Tonight,6620
2021-05-27 17:16,Eurythmics,Sweet Dreams (Are Made of This) - Remastered,2630
2021-05-27 17:16,Deluxe,Extra Mile,2240
2021-05-27 17:16,Echo & the Bunnymen,Nocturnal Me,1370
2021-05-27 17:16,French Montana,Unforgettable,8510
2021-05-27 17:16,Duke Dumont,Ocean Drive,2870
2021-05-27 17:16,Foreigner,I Want to Know What Love Is - 2008 Remaster,2310
2021-05-27 17:16,DJ Snake,Let Me Love You,1940
2021-05-27 17:16,Corey Hart,Sunglasses At Night,6240
2021-05-27 17:16,Daryl Hall & John Oates,Maneater,4790
2021-05-27 17:16,Empire of the Sun,We Are The People,7200
2021-05-27 17:16,Dancing Mood,Close To You,1230
2021-05-27 17:17,Cage The Elephant,Telescope,5640
2021-05-27 17:17,Doja Cat,Say So,4370
2021-05-27 17:17,Cage The Elephant,Spiderhead,3300
2021-05-27 17:17,Cage The Elephant,It's Just Forever,2420
2021-05-27 17:17,Vantage,Dancing All Night,1340
2021-05-27 17:17,Cage The Elephant,Come A Little Closer,6780
2021-05-27 17:17,Capital Cities,Kangaroo Court,34520
2021-05-27 17:18,The Killers,Human,2350
2021-05-27 17:18,Jubel Sax,Jubel,2890
2021-05-27 17:18,Two Door Cinema Club,Changing of the Seasons - Francesco Rossi Remix,3450
2021-05-27 17:18,Hermanos Inglesos,Self Control (feat. Lara Chedraoui) - Radio Edit,1310
2021-05-27 17:18,Whitewoods ,Beach Walk,17890
2021-05-27 17:18,Dear Frederic,Outlast,910
2021-05-27 17:18,Poncho,Please Me,11450
2021-05-27 17:18,John Newman,Come And Get It,3960
2021-05-27 17:18,Imagine Dragons,Shots - AtellaGali Remix,1860
2021-05-27 17:18,Vantage,Selfish Earrings,4810
2021-05-27 17:18,John Newman,Love Me Again,1730
2021-05-27 17:18,Baby Bash,Suga Suga,3170
2021-05-27 17:19,Dear Frederic,Outlast - Tork Remix,1320
2021-05-27 17:19,Coldplay,Hymn for the Weekend,3910
2021-05-27 17:19,Coldplay,Adventure of a Lifetime,1260
2021-05-27 17:19,Pato Watson,I Love You,5240
2021-05-27 17:19,Capital Cities,Safe And Sound,5030
2021-05-27 17:19,Coldplay,Clocks,4550
2021-05-27 17:19,Maxi Trusso,Taste of Love,4540
2021-05-27 17:19,Capital Cities,One Minute More,6710
2021-05-27 17:19,The Temper Trap,Sweet Disposition,16300
2021-05-27 17:19,Echosmith,Come Together,2710
2021-05-27 17:19,RAC,Cheap Sunglasses - Le Youth Remix,6180
2021-05-27 17:20,Betty j,I Follow Rivers - The Magician Remix,24220
2021-05-27 17:20,Kungs,This Girl (Kungs Vs Cookin' On 3 Burners) - Extended,13120
2021-05-27 17:20,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,11770
2021-05-27 17:20,Panic Is Perfect,Go Go Go,7580
2021-05-27 17:23,Black Pumas,Colors,135360
2021-05-27 17:27,Black Pumas,Colors,246586
2021-05-27 17:31,David Zowie,House Every Weekend - Radio Edit,4723
2021-05-27 17:35,Black Pumas,Colors,246586
2021-05-27 17:39,Blur,Girls & Boys,259386
2021-05-27 17:44,8D Tunes,Everywhere (8D Audio),259677
2021-05-27 17:47,The Weeknd,Blinding Lights,200040
2021-05-27 18:25,Vantage,Dancing All Night,15499
2021-05-27 18:29,French Montana,Unforgettable,233901
2021-05-27 18:32,David Zowie,House Every Weekend - Radio Edit,182767
2021-05-27 18:37,Poncho,Please Me,268466
2021-05-27 18:40,The Temper Trap,Sweet Disposition,231546
2021-05-27 18:44,Cage The Elephant,Come A Little Closer,229346
2021-05-27 18:49,Milky Chance,Stolen Dance,313684
2021-05-27 18:53,Foster The People,Pumped Up Kicks,239600
2021-05-27 18:58,Black Pumas,Colors,246586
2021-05-27 19:01,Tame Impala,The Less I Know The Better,216320
2021-05-27 19:04,Route 94,Fever - Edit,174374
2021-05-27 19:08,Robin Schulz,Sugar (feat. Francesco Yates),219043
2021-05-27 19:11,99 Souls,The Girl Is Mine,216613
2021-05-27 19:15,Capital Cities,Kangaroo Court,223186
2021-05-27 19:19,8D Tunes,Everywhere (8D Audio),259677
2021-05-27 19:23,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",207333
2021-05-27 19:28,Goldroom,City Girls,295250
2021-05-27 19:32,Empire of the Sun,We Are The People,272174
2021-05-27 19:38,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,341746
2021-05-27 19:42,Black Pumas,Colors,246586
2021-05-27 19:47,Blur,Girls & Boys,259386
2021-05-27 19:51,8D Tunes,Everywhere (8D Audio),259677
2021-05-27 19:55,Vantage,Dancing All Night,235000
2021-05-27 19:58,David Zowie,House Every Weekend - Radio Edit,182767
2021-05-27 20:02,Poncho,Please Me,268466
2021-05-27 20:06,The Temper Trap,Sweet Disposition,231546
2021-05-27 20:10,Cage The Elephant,Come A Little Closer,229346
2021-05-27 20:15,Milky Chance,Stolen Dance,313684
2021-05-27 20:19,Foster The People,Pumped Up Kicks,239600
2021-05-27 20:23,Black Pumas,Colors,246586
2021-05-27 20:27,Tame Impala,The Less I Know The Better,216320
2021-05-27 20:30,Route 94,Fever - Edit,174374
2021-05-27 20:34,Robin Schulz,Sugar (feat. Francesco Yates),219043
2021-05-27 20:36,99 Souls,The Girl Is Mine,138753
2021-05-27 20:37,Akano,"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version]",6480
2021-05-27 20:37,FictionJunction,from the edge -TV ver.-,5300
2021-05-27 20:37,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,39140
2021-05-27 20:43,LiSA,紅蓮華,266776
2021-05-27 20:47,T.M.Revolution,HEART OF SWORD 〜夜明け前〜,244333
2021-05-27 20:49,Akano,"Kamado Tanjirou no Uta (From ""Demon Slayer: Kimetsu no Yaiba"") [Full Version]",31187
2021-05-27 20:49,FictionJunction,from the edge -TV ver.-,90102
2021-05-27 20:54,Black Pumas,Colors,2093
2021-05-27 20:54,Black Pumas,Colors,246586
2021-05-27 20:58,Poncho,Please Me,268466
2021-05-27 21:02,The Temper Trap,Sweet Disposition,231546
2021-05-27 21:05,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,208867
2021-05-27 21:06,VS Meteoro,Nuevas Generaciones,12300
2021-05-27 21:10,Black Pumas,Colors,246586
2021-05-27 21:15,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,341746
2021-05-27 21:20,8D Tunes,Everywhere (8D Audio),259677
2021-05-27 21:24,Capital Cities,Kangaroo Court,223186
2021-05-27 21:28,Goldroom,City Girls,295250
2021-05-27 21:31,David Zowie,House Every Weekend - Radio Edit,182767
2021-05-27 21:35,Cage The Elephant,Come A Little Closer,229346
2021-05-27 21:41,Milky Chance,Stolen Dance,313684
2021-05-27 21:45,Blur,Girls & Boys,259386
2021-05-27 21:49,8D Tunes,Everywhere (8D Audio),259677
2021-05-27 21:54,Empire of the Sun,We Are The People,272174
2021-05-27 21:57,Snoop Dogg,"Young, Wild & Free (feat. Bruno Mars)",207333
2021-05-27 22:01,Robin Schulz,Sugar (feat. Francesco Yates),219043
2021-05-27 22:05,99 Souls,The Girl Is Mine,216613
2021-05-27 22:08,The Temper Trap,Sweet Disposition,231546
2021-05-27 22:12,Tame Impala,The Less I Know The Better,216320
2021-05-27 22:15,Route 94,Fever - Edit,174374
2021-05-27 22:19,Foster The People,Pumped Up Kicks,239600
2021-05-27 22:43,Poncho,Please Me,447930
2021-05-27 22:47,Black Pumas,Colors,246586
2021-05-27 22:51,Vantage,Dancing All Night,235000
2021-05-27 22:55,Black Pumas,Colors,246586
2021-05-27 23:06,Night Tempo,Stay with Me - Night Tempo Showa Groove Mix,285490
2021-05-27 23:10,8D Tunes,Everywhere (8D Audio),259677
2021-05-27 23:11,Capital Cities,Kangaroo Court,64162
2021-05-27 23:16,Goldroom,City Girls,295250
2021-05-27 23:18,David Zowie,House Every Weekend - Radio Edit,36030
2021-05-27 23:19,Cage The Elephant,Come A Little Closer,8430
2021-05-27 23:23,Black Pumas,Colors,246586
2021-05-28 00:41,99 Souls,The Girl Is Mine,190331
2021-05-28 01:15,Black Pumas,Colors,5400
2021-05-28 01:19,Black Pumas,Colors,241002
